path,true_label,prob_model_A,prob_model_B,pred_A,pred_B
..\TB_Chest_Radiography_Database\Normal\Normal-1024.png,Normal,0.00012786747538484633,0.0028482506,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1025.png,Normal,2.7358881197869778e-05,0.00050487614,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1026.png,Normal,1.1076171176682692e-05,0.078873865,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1027.png,Normal,4.630833427654579e-05,0.0007591206,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1028.png,Normal,0.00016174485790543258,0.0034032818,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1029.png,Normal,1.6497979231644422e-05,0.4779639,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-103.png,Normal,1.2615741979971062e-06,0.29923368,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1030.png,Normal,6.536483397212578e-06,0.43239498,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1031.png,Normal,9.268906433135271e-05,0.003887213,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1032.png,Normal,0.00016592987230978906,0.0010029129,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1033.png,Normal,1.6413378034485504e-05,0.047476668,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1034.png,Normal,2.8342754376353696e-05,0.00075419835,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1035.png,Normal,2.960610800073482e-06,0.018812424,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1036.png,Normal,1.1065757462347392e-05,0.00046196493,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1037.png,Normal,6.125981144577963e-07,0.3373376,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1038.png,Normal,0.0005561934085562825,0.27228576,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1039.png,Normal,5.7007062423508614e-05,0.0014056808,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-104.png,Normal,2.467169178999029e-05,0.01784155,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1040.png,Normal,8.015696039365139e-06,0.020693744,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1041.png,Normal,7.55990504330839e-06,0.52007914,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1042.png,Normal,1.2775067261827644e-05,0.0048654117,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1043.png,Normal,4.57554369859281e-06,0.008899939,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1044.png,Normal,2.5805566110648215e-05,0.2679171,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1045.png,Normal,0.00045357216731645167,0.0010876507,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1046.png,Normal,2.7423700885265134e-05,0.09657593,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1047.png,Normal,0.00014157463738229126,0.5018223,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1048.png,Normal,7.317235576920211e-05,0.06708004,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1049.png,Normal,0.00010332902456866577,0.24855924,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-105.png,Normal,6.774805660825223e-05,0.0072863842,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1050.png,Normal,0.0010181906400248408,0.0083679985,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1051.png,Normal,1.1530786650837399e-05,0.8676636,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1052.png,Normal,5.000938926968956e-06,0.023448007,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1053.png,Normal,9.625470738683362e-06,0.00035692463,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1054.png,Normal,2.8311456844676286e-05,0.24890554,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1055.png,Normal,2.3437310119334143e-06,5.754939e-05,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1056.png,Normal,0.0008691552793607116,0.9774925,Normal,Tuberculosis
..\TB_Chest_Radiography_Database\Normal\Normal-1057.png,Normal,0.00014396218466572464,0.45780775,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1058.png,Normal,0.00016898165631573647,0.5324531,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1059.png,Normal,1.1532851203810424e-05,0.015515522,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-106.png,Normal,4.9154205044033006e-05,0.020216601,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1060.png,Normal,1.0346479029976763e-05,0.35381827,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1061.png,Normal,6.462437340815086e-06,0.06812497,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1062.png,Normal,1.6920545022003353e-05,0.005321142,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1063.png,Normal,5.844992119818926e-05,0.0018870888,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1064.png,Normal,4.6170444534254784e-07,1.7335831e-06,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1065.png,Normal,3.701899913721718e-05,0.5162379,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1066.png,Normal,6.083061180106597e-06,0.15458268,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1067.png,Normal,0.00028247060254216194,0.45133772,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1068.png,Normal,5.3427920647663996e-06,0.56120074,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1069.png,Normal,3.635192842921242e-05,0.45332077,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-107.png,Normal,7.812171816112823e-07,0.36300287,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1070.png,Normal,2.979307282657828e-06,0.40556955,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1071.png,Normal,3.0243634682847187e-05,0.0019714911,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1072.png,Normal,0.000981692923232913,0.4527739,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1073.png,Normal,4.233240360917989e-06,0.027174516,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1074.png,Normal,2.1533307972276816e-06,0.5568196,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1075.png,Normal,9.447600746170792e-07,0.034335308,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1076.png,Normal,1.2727682587865274e-06,0.001274811,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1077.png,Normal,0.00020540413970593363,0.02430528,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1078.png,Normal,0.000133521796669811,0.0012025681,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1079.png,Normal,9.584518920746632e-06,0.4305331,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-108.png,Normal,5.67199349461589e-05,0.24906656,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1080.png,Normal,3.2135951187228784e-05,0.00018069889,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1081.png,Normal,6.46258849883452e-05,0.0007321781,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1082.png,Normal,6.532249699375825e-06,0.03561995,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1083.png,Normal,3.6555557016981766e-06,0.0061827223,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1084.png,Normal,1.7357023125441629e-06,0.07794378,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1085.png,Normal,2.007686362048844e-06,0.4887854,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1086.png,Normal,1.735356454446446e-05,0.0007429463,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1087.png,Normal,2.3766579033690505e-06,0.006872412,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1088.png,Normal,4.922975676890928e-06,0.0006493934,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1089.png,Normal,8.789154526311904e-05,0.0020451064,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-109.png,Normal,9.0863584773615e-05,0.01183269,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1090.png,Normal,6.451623903558357e-06,0.0062309233,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1091.png,Normal,3.842826117761433e-06,0.0973291,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1092.png,Normal,2.8777591069228947e-05,0.0040211407,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1093.png,Normal,4.1822264051916136e-07,0.95093465,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1094.png,Normal,1.5392373597933329e-06,0.0011556469,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1095.png,Normal,0.0001916650217026472,0.16065684,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1096.png,Normal,7.502569133066572e-06,0.0077354787,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1097.png,Normal,8.482120756525546e-05,0.0006774699,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1098.png,Normal,4.548294236883521e-05,0.855973,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1099.png,Normal,0.000250202720053494,0.0038118225,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-11.png,Normal,4.663419986172812e-06,0.0095851,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-110.png,Normal,1.7496957298135385e-05,0.005149945,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1100.png,Normal,7.184366495494032e-06,0.00077805424,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1101.png,Normal,2.353875743210665e-06,0.008711303,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1102.png,Normal,8.515505760442466e-05,0.00016508572,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1103.png,Normal,1.6983705791062675e-05,0.29666486,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1104.png,Normal,3.9034731003084744e-07,0.08682367,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1105.png,Normal,6.356047379085794e-06,0.5717523,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1106.png,Normal,3.6647247725341003e-07,0.08666285,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1107.png,Normal,5.080232767795678e-06,0.018480064,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1108.png,Normal,8.979542326414958e-05,0.04564231,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1109.png,Normal,6.173502242745599e-06,0.012726767,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-111.png,Normal,3.7437223454617197e-07,0.0003115488,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1110.png,Normal,7.38480594009161e-05,0.10352152,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1111.png,Normal,0.00012776514631696045,0.026368646,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1112.png,Normal,2.5104964151978493e-06,0.20979209,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1113.png,Normal,3.505835479700181e-07,0.02661134,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1114.png,Normal,5.683723429683596e-06,0.52671754,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1115.png,Normal,1.74592605617363e-06,0.005012694,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1116.png,Normal,9.64629478517054e-08,0.36012265,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1117.png,Normal,6.068957191018853e-06,0.0068237726,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1118.png,Normal,3.86562817311642e-08,6.362989e-05,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1119.png,Normal,2.066999877570197e-05,0.87142366,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-112.png,Normal,2.245288123958744e-05,0.0009556821,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1120.png,Normal,0.004784891381859779,0.5205289,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1121.png,Normal,0.00012652705481741577,0.44782898,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1122.png,Normal,2.3145667000790127e-05,0.36793333,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1123.png,Normal,0.00037565629463642836,0.28870523,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1124.png,Normal,9.601660713087767e-05,0.0006692644,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1125.png,Normal,1.8684471569940797e-06,0.078509174,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1126.png,Normal,8.951414201874286e-06,0.0014364184,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1127.png,Normal,0.00027293479070067406,0.005179326,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1128.png,Normal,3.761400148505345e-05,0.0009816032,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1129.png,Normal,0.00045902386773377657,0.0003320197,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-113.png,Normal,8.300760782731231e-06,0.0020515549,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1130.png,Normal,3.187181209796108e-05,0.0012658329,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1131.png,Normal,7.550978580184164e-07,0.004524172,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1132.png,Normal,0.00026439467910677195,0.1360831,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1133.png,Normal,7.319534688576823e-06,0.010028473,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1134.png,Normal,5.750851414632052e-05,0.0068319687,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1135.png,Normal,5.602781129709911e-06,0.00041308784,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1136.png,Normal,6.334486533887684e-05,0.05262519,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1137.png,Normal,1.0575823580438737e-05,0.0042066607,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1138.png,Normal,1.987225732591469e-05,0.0019152083,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1139.png,Normal,0.00014773508883081377,0.0007290561,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-114.png,Normal,3.225018008379266e-05,0.012053531,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1140.png,Normal,8.517889682480018e-07,0.00085816847,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1141.png,Normal,8.632124081486836e-05,0.93166137,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1142.png,Normal,3.141271463391604e-06,0.4712031,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1143.png,Normal,2.0228203538863454e-06,0.28628027,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1144.png,Normal,1.0011588528868742e-05,0.0011048676,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1145.png,Normal,7.519663631683215e-05,0.02992561,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1146.png,Normal,2.672939558578946e-07,0.9846154,Normal,Tuberculosis
..\TB_Chest_Radiography_Database\Normal\Normal-1147.png,Normal,2.3194348614197224e-05,0.0023061954,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1148.png,Normal,0.00012097832950530574,0.00043469778,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1149.png,Normal,1.5519472071900964e-05,0.00036193195,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-115.png,Normal,0.0001363674527965486,0.02029855,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1150.png,Normal,0.0002499184920452535,0.010407704,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1151.png,Normal,0.00020667226635850966,0.00021318777,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1152.png,Normal,0.0004367878136690706,0.25585416,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1153.png,Normal,0.0005936123197898269,0.0021160052,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1154.png,Normal,1.3163520407033502e-06,0.0014515948,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1155.png,Normal,5.572879672399722e-06,0.0005401185,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1156.png,Normal,6.191019201651216e-05,0.9837449,Normal,Tuberculosis
..\TB_Chest_Radiography_Database\Normal\Normal-1157.png,Normal,1.7822644622356165e-06,0.0059989244,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1158.png,Normal,3.2103500416269526e-05,0.02417301,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1159.png,Normal,8.311976671393495e-06,0.10486374,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-116.png,Normal,6.464595116995042e-07,0.023414623,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1160.png,Normal,1.3288658919918817e-06,0.06218481,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1161.png,Normal,1.077792785508791e-05,0.0019031013,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1162.png,Normal,4.839105713472236e-06,0.001439389,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1163.png,Normal,2.4896138711483218e-05,0.0013964772,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1164.png,Normal,1.4946410828997614e-06,0.3332425,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1165.png,Normal,5.338627602213819e-07,0.026922088,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1166.png,Normal,7.634831490577199e-06,0.2653426,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1167.png,Normal,0.0003549184475559741,3.0259647e-05,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1168.png,Normal,0.0002914561773650348,0.010063203,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1169.png,Normal,5.161096851225011e-06,0.15572397,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-117.png,Normal,4.896432801615447e-05,0.0011123173,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1170.png,Normal,2.8281492632231675e-05,0.31374615,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1171.png,Normal,1.3483163456839975e-05,0.0010564468,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1172.png,Normal,7.986472155607771e-06,0.003564137,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1173.png,Normal,1.3433354070002679e-05,0.0014765941,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1174.png,Normal,6.89498506289965e-07,0.66938674,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1175.png,Normal,4.0711474866839126e-05,0.0003791065,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1176.png,Normal,8.654173143440858e-06,0.0020317328,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1177.png,Normal,5.044220415584277e-06,0.10959663,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1178.png,Normal,1.1456553693278693e-05,0.49476293,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1179.png,Normal,0.00044271221850067377,0.0039828536,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-118.png,Normal,0.000124749043607153,0.62226415,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1180.png,Normal,4.260307832737453e-06,0.490009,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1181.png,Normal,0.00028938709874637425,0.006321891,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1182.png,Normal,2.2796895791543648e-05,0.0018794317,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1183.png,Normal,6.764214504073607e-07,0.13434958,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1184.png,Normal,1.4677383660455234e-05,0.5423982,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1185.png,Normal,2.3439035430783406e-05,0.011849029,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1186.png,Normal,1.1539403203641996e-05,0.0011483133,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1187.png,Normal,3.598266857807175e-07,0.9942095,Normal,Tuberculosis
..\TB_Chest_Radiography_Database\Normal\Normal-1188.png,Normal,1.2958316801814362e-06,0.07392579,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1189.png,Normal,7.81821108830627e-06,0.031162467,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-119.png,Normal,0.00015834643272683024,0.0010617666,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1190.png,Normal,0.0005349499406293035,0.13740557,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1191.png,Normal,4.7922243538778275e-05,0.012196437,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1192.png,Normal,0.00020559949916787446,0.80572295,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1193.png,Normal,0.0001940056827152148,0.0018954333,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1194.png,Normal,0.0019716026727110147,0.93762326,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1195.png,Normal,0.00011102767166448757,0.10491423,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1196.png,Normal,2.4304255930474028e-05,0.00026700058,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1197.png,Normal,0.0002814861654769629,6.679671e-05,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1198.png,Normal,6.74508701195009e-05,0.17241327,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1199.png,Normal,4.239738700562157e-06,0.026098993,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-12.png,Normal,1.966660647667595e-06,0.00065176416,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-120.png,Normal,6.552251761604566e-06,0.4644453,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1200.png,Normal,8.175604307325557e-06,0.00021208751,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1201.png,Normal,4.672205977840349e-05,0.28560042,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1202.png,Normal,2.346054679946974e-05,0.021376204,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1203.png,Normal,5.5111057008616626e-05,0.0014656823,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1204.png,Normal,0.00011569116031751037,0.36086094,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1205.png,Normal,0.00018073833780363202,0.08270689,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1206.png,Normal,4.190110757917864e-06,0.0012365279,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1207.png,Normal,1.8384498616796918e-05,0.0012594186,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1208.png,Normal,2.5563094823155552e-05,0.008166121,Normal,Normal
